干员名字,稀有度,分支,描述,再部署时间,部署费用,阻挡数,攻击间隔,生命上限,攻击,防御,法术抗性,攻击范围,上线时间（国服）
雪绒,3,行医,恢复友方单位生命，并回复相当于攻击力50%的元素损伤术语: 元素损伤包括神经损伤、侵蚀损伤、灼燃损伤、凋亡损伤※最大元素值默认为1000，受到附加元素损伤的伤害时先结算伤害后结算元素损伤（可以回复未受伤友方单位的元素损伤术语: 元素损伤包括神经损伤、侵蚀损伤、灼燃损伤、凋亡损伤※最大元素值默认为1000，受到附加元素损伤的伤害时先结算伤害后结算元素损伤）,70s,13→15,1,2.85s,"['750', '987', '1175', '1367', '150']","['136', '223', '310', '388', '35']","['43', '63', '79', '99', '0']","['10', '10', '10', '10', '0']","[12, 18, 18]",2019年4月30日 10:00
翎羽,3,领主,可以进行远程攻击，但此时攻击力降低至80%,70s,18→20,2,1.3s,"['1075', '1536', '2022', '2560', '0']","['297', '444', '577', '713', '50']","['189', '259', '329', '397', '50']","['5', '5', '10', '10', '0']","[7, 8, 8]",2019年4月30日 10:00
梅,3,铁卫,能够阻挡三个敌人,80s,20→22→24,3,1.2s,"['1443', '1899', '2467', '3380', '350']","['199', '256', '321', '378', '0']","['253', '378', '519', '721', '35']","['0', '0', '0', '0', '0']","[1, 1, 1]",2019年4月30日 10:00
惊蛰,3,凝滞师,攻击造成法术伤害，并对敌人造成短暂的停顿术语: 停顿移动速度降低80%,70s,12→14,1,1.9s,"['548', '751', '964', '1205', '0']","['202', '298', '398', '480', '50']","['46', '66', '85', '101', '0']","['10', '10', '15', '20', '0']","[12, 12, 12]",2019年4月30日 10:00
濯尘芙蓉,3,钩索师,技能可以使敌人产生位移可以放置于远程位,70s,11→13,2,1.8s,"['852', '1152', '1497', '1970', '0']","['329', '471', '612', '765', '70']","['148', '219', '289', '340', '0']","['0', '0', '0', '0', '0']","[3, 4, 4]",2019年4月30日 10:00
夏栎,3,领主,可以进行远程攻击，但此时攻击力降低至80%,70s,18→20,2,1.3s,"['1041', '1488', '1959', '2480', '0']","['299', '447', '581', '718', '50']","['191', '263', '333', '402', '50']","['5', '5', '10', '10', '0']","[7, 8, 8]",2019年4月30日 10:00
晓歌,3,速射手,优先攻击空中单位,70s,7,1,1.0s,"['546', '780', '——', '——', '0']","['161', '269', '——', '——', '30']","['46', '66', '——', '——', '0']","['0', '0', '——', '——', '0']",[10],2019年4月30日 10:00
稀音,4,战术家,可以在攻击范围内选择一次战术点来召唤援军，自身攻击援军阻挡的敌人时攻击力提升至150%,70s,15→17,1,1.0s,"['785', '1122', '1439', '1755', '0']","['195', '287', '378', '462', '80']","['54', '91', '130', '154', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2019年4月30日 10:00
槐琥,4,解放者,通常不攻击且阻挡数为0，技能未开启时40秒内攻击力逐渐提升至最高+200%且技能结束时重置攻击力,80s,11→13,2→2→3,1.2s,"['1871', '2463', '3118', '3757', '230']","['137', '197', '256', '302', '50']","['238', '331', '425', '501', '0']","['15', '15', '15', '15', '0']","[4, 4, 4]",2019年4月30日 10:00
正义骑士号,4,武者,精英阶段0,70s,20→22→24,1,1.2s,"['1413', '1963', '2583', '3444', '0']","['309', '442', '575', '693', '30']","['150', '206', '265', '312', '40']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年4月30日 10:00
夕,4,群愈师,同时恢复三个友方单位的生命,70s,15→17,1,2.85s,"['745', '1008', '1260', '1595', '200']","['125', '202', '274', '343', '30']","['72', '97', '126', '153', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2019年4月30日 10:00
诗怀雅,4,尖兵,能够阻挡两个敌人,70s,11→13,2,1.05s,"['727', '996', '1365', '1950', '0']","['203', '299', '410', '500', '70']","['139', '208', '274', '343', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年4月30日 10:00
雷蛇,4,领主,可以进行远程攻击，但此时攻击力降低至80%,70s,14→16,2,1.3s,"['879', '1256', '1653', '——', '0']","['252', '372', '497', '——', '50']","['162', '222', '282', '——', '0']","['5', '5', '10', '——', '0']","[7, 8]",2019年4月30日 10:00
Lancet-2,4,工匠,能够阻挡两个敌人，使用<支援装置>协助作战,70s,13→15→17,2,1.5s,"['1123', '1539', '1976', '2470', '0']","['226', '333', '444', '535', '35']","['188', '270', '349', '415', '35']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年4月30日 10:00
巡林者,4,炮手,攻击造成群体物理伤害,70s,25→27→29,1,2.8s,"['821', '1027', '1284', '1605', '0']","['397', '568', '711', '912', '100']","['68', '89', '112', '133', '0']","['0', '0', '0', '0', '0']","[12, 13, 15]",2019年4月30日 10:00
空爆,4,投掷手,攻击对小范围的地面敌人造成两次物理伤害（第二次为余震，伤害降低至攻击力的一半）,70s,23→25,1,2.1s,"['874', '1166', '1477', '1944', '0']","['341', '461', '584', '688', '60']","['123', '160', '200', '245', '30']","['10', '10', '10', '15', '0']","[12, 19, 19]",2019年4月30日 10:00
柏喙,4,无畏者,能够阻挡一个敌人,70s,13→15,1,1.5s,"['1395', '1993', '2745', '——', '0']","['396', '583', '738', '——', '65']","['83', '119', '155', '——', '0']","['0', '0', '0', '——', '0']","[2, 2]",2019年4月30日 10:00
浊心斯卡蒂,4,疗养师,拥有较大治疗范围，但在治疗较远目标时治疗量变为80%,80s,21→23,1,2.85s,"['1000', '1317', '1569', '1825', '0']","['189', '311', '432', '540', '45']","['48', '70', '88', '111', '30']","['10', '10', '10', '10', '0']","[12, 18, 18]",2019年4月30日 10:00
年,4,不屈者,无法被友方角色治疗,70s,32→34→36,2→3→3,1.6s,"['1677', '2207', '2867', '3928', '500']","['370', '515', '687', '882', '0']","['229', '347', '463', '602', '60']","['10', '10', '10', '10', '0']","[2, 2, 2]",2019年4月30日 10:00
Touch,4,疗养师,拥有较大治疗范围，但在治疗较远目标时治疗量变为80%,80s,20→22,1,2.85s,"['798', '1050', '1251', '1455', '200']","['164', '269', '374', '468', '40']","['55', '80', '100', '126', '0']","['10', '10', '10', '10', '0']","[12, 18, 18]",2019年4月30日 10:00
铸铁,4,重射手,高精度的近距离射击,70s,14→16→18,1,1.6s,"['671', '933', '1197', '1576', '0']","['313', '429', '565', '735', '80']","['79', '114', '152', '209', '0']","['0', '0', '0', '0', '0']","[7, 9, 9]",2019年4月30日 10:00
赫默,4,伏击客,对攻击范围内所有敌人造成伤害拥有50%的物理和法术闪避且不容易成为敌人的攻击目标,70s,18→20,0,3.5s,"['849', '1180', '1513', '1780', '200']","['372', '503', '646', '798', '60']","['141', '217', '282', '340', '0']","['10', '10', '20', '30', '0']","[10, 10, 10]",2019年4月30日 10:00
罗比菈塔,4,术战者,攻击造成法术伤害,80s,21→23,1,1.25s,"['1297', '1707', '2162', '2845', '500']","['266', '386', '502', '620', '0']","['166', '238', '306', '369', '0']","['10', '10', '10', '15', '0']","[2, 2, 2]",2019年4月30日 10:00
暮落,4,速射手,优先攻击空中单位,70s,11→13,1,1.0s,"['693', '991', '1271', '1550', '0']","['171', '285', '414', '505', '75']","['58', '97', '139', '165', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2019年4月30日 10:00
深海色,4,强攻手,同时攻击阻挡的所有敌人,70s,19→21→23,2→2→3,1.2s,"['1064', '1365', '1751', '2335', '0']","['308', '428', '579', '762', '80']","['155', '222', '300', '366', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年4月30日 10:00
嘉维尔,4,炮手,攻击造成群体物理伤害,70s,21→23,1,2.8s,"['736', '920', '1150', '——', '0']","['340', '487', '617', '——', '55']","['51', '67', '85', '——', '0']","['0', '0', '0', '——', '0']","[12, 13]",2019年4月30日 10:00
可颂,4,医师,恢复友方单位生命，且不受部署数量限制，但再部署时间极长,200s,3,1,2.85s,"['261', '435', '——', '——', '100']","['42', '70', '——', '——', '40']","['16', '27', '——', '——', '0']","['0', '0', '——', '——', '0']",[10],2019年4月30日 10:00
亚叶,4,疗养师,拥有较大治疗范围，但在治疗较远目标时治疗量变为80%,70s,18→20,1,2.85s,"['785', '1034', '1231', '1432', '200']","['172', '282', '393', '492', '40']","['52', '76', '95', '119', '0']","['10', '10', '10', '10', '0']","[12, 18, 18]",2019年4月30日 10:00
煌,4,散射手,攻击范围内的所有敌人，对自己前方一横排的敌人攻击力提升至150%,70s,27→30,1,2.3s,"['977', '1303', '1650', '2200', '0']","['303', '434', '560', '667', '55']","['90', '118', '150', '167', '0']","['0', '0', '0', '0', '0']","[5, 7, 7]",2019年4月30日 10:00
蛇屠箱,4,神射手,优先攻击攻击范围内防御力最低的敌方单位,70s,19→21,1,2.7s,"['737', '958', '1198', '1498', '300']","['479', '666', '877', '1070', '40']","['62', '83', '104', '128', '0']","['0', '0', '0', '0', '0']","[12, 19, 19]",2019年4月30日 10:00
圣约送葬人,4,医师,恢复友方单位生命,70s,15→17,1,2.85s,"['682', '975', '1220', '——', '0']","['153', '248', '345', '——', '45']","['61', '82', '110', '——', '0']","['0', '0', '0', '——', '0']","[10, 12]",2019年4月30日 10:00
空弦,5,处决者,再部署时间大幅度减少,18s,7→9,1,0.93s,"['703', '938', '1173', '1505', '0']","['204', '301', '413', '530', '75']","['135', '194', '253', '302', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年4月30日 10:00
傀影,5,中坚术师,攻击造成法术伤害,70s,12,1,1.6s,"['571', '952', '——', '——', '0']","['238', '340', '——', '——', '30']","['36', '62', '——', '——', '0']","['10', '10', '——', '——', '0']",[9],2019年4月30日 10:00
森蚺,5,无畏者,能够阻挡一个敌人,70s,17→19,1,1.5s,"['1521', '2174', '2938', '3866', '0']","['452', '665', '842', '1015', '80']","['116', '167', '220', '263', '40']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年4月30日 10:00
Stormeye,5,斗士,能够阻挡一个敌人,70s,7→9,1,0.78s,"['1151', '1556', '1996', '2435', '0']","['211', '311', '415', '513', '60']","['131', '191', '262', '312', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年4月30日 10:00
食铁兽,5,推击手,同时攻击阻挡的所有敌人可以放置于远程位,70s,18→20,2,1.2s,"['852', '1136', '1439', '1845', '300']","['279', '388', '518', '640', '45']","['158', '240', '317', '382', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年4月30日 10:00
至简,5,中坚术师,攻击造成法术伤害,80s,20→22,1,1.6s,"['619', '885', '1150', '1420', '0']","['286', '403', '531', '633', '70']","['47', '80', '111', '124', '0']","['10', '10', '15', '20', '0']","[9, 10, 10]",2019年4月30日 10:00
铎铃,5,尖兵,能够阻挡两个敌人,70s,11→13,2,1.05s,"['679', '931', '1276', '1824', '0']","['212', '312', '428', '522', '70']","['138', '207', '273', '342', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年4月30日 10:00
普罗旺斯,5,情报官,再部署时间减少，可使用远程攻击,35s,9→11,1,1.0s,"['1000', '1390', '1760', '2121', '0']","['256', '366', '482', '589', '50']","['106', '175', '241', '281', '30']","['0', '0', '0', '0', '0']","[3, 3, 3]",2019年4月30日 10:00
铅踝,5,武者,精英阶段0,70s,22→24→26,1,1.2s,"['1568', '2179', '2868', '3825', '400']","['340', '486', '632', '762', '70']","['160', '220', '283', '334', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年4月30日 10:00
预备干员-狙击,5,秘术师,攻击造成法术伤害，在找不到攻击目标时可以将攻击能量储存起来之后一齐发射（最多3个）,70s,21→23,1,3.0s,"['625', '894', '1162', '1435', '0']","['486', '695', '903', '1116', '100']","['44', '75', '104', '117', '0']","['20', '20', '20', '20', '0']","[8, 10, 10]",2019年4月30日 10:00
莫斯提马,5,中坚术师,攻击造成法术伤害,70s,15→17,1,1.6s,"['565', '808', '1050', '——', '0']","['242', '346', '456', '——', '0']","['36', '61', '84', '——', '0']","['10', '10', '15', '——', '0']","[9, 10]",2019年4月30日 10:00
格雷伊,5,工匠,能够阻挡两个敌人，使用<支援装置>协助作战,70s,15→17→19,2,1.5s,"['1043', '1490', '2042', '2723', '0']","['236', '369', '492', '593', '40']","['190', '274', '354', '421', '40']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年4月30日 10:00
莱恩哈特,5,速射手,优先攻击空中单位,70s,9→11,1,1.0s,"['545', '826', '1060', '——', '0']","['154', '258', '375', '——', '50']","['52', '88', '126', '——', '0']","['0', '0', '0', '——', '0']","[10, 12]",2019年4月30日 10:00
艾丝黛尔,5,阵法术师,通常时不攻击且防御力和法术抗性大幅度提升，技能开启时攻击造成群体法术伤害,70s,22→24,1,2.0s,"['1074', '1343', '1679', '2048', '0']","['421', '569', '730', '849', '70']","['158', '184', '212', '242', '40']","['15', '15', '15', '15', '0']","[9, 13, 13]",2019年4月30日 10:00
图耶,5,铁卫,能够阻挡三个敌人,70s,18→20→22,3,1.2s,"['1503', '1978', '2569', '3520', '150']","['201', '258', '323', '380', '0']","['249', '373', '511', '710', '60']","['0', '0', '0', '0', '0']","[1, 1, 1]",2019年4月30日 10:00
天火,5,中坚术师,攻击造成法术伤害,70s,17→19,1,1.6s,"['619', '885', '1150', '1420', '0']","['253', '362', '483', '583', '60']","['42', '71', '98', '110', '0']","['10', '10', '15', '20', '0']","[9, 10, 10]",2019年4月30日 10:00
W,5,处决者,再部署时间大幅度减少,18s,8→10,1,0.93s,"['747', '996', '1246', '1598', '0']","['219', '323', '443', '569', '90']","['144', '206', '268', '320', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年4月30日 10:00
老鲤,5,伏击客,对攻击范围内所有敌人造成伤害拥有50%的物理和法术闪避且不容易成为敌人的攻击目标,70s,17→19,0,3.5s,"['730', '1014', '1300', '1530', '450']","['346', '468', '601', '742', '0']","['139', '214', '279', '337', '0']","['10', '10', '20', '30', '0']","[10, 10, 10]",2019年4月30日 10:00
苦艾,5,扩散术师,攻击造成群体法术伤害,70s,24,1,2.9s,"['1461', '1461', '——', '——', '0']","['302', '432', '——', '——', '50']","['31', '50', '——', '——', '0']","['10', '10', '——', '——', '0']",[7],2019年4月30日 10:00
空构,5,召唤师,攻击造成法术伤害可以使用召唤物协助作战,70s,10→12,1,1.6s,"['495', '670', '871', '1103', '300']","['211', '302', '403', '469', '40']","['60', '87', '116', '140', '0']","['15', '15', '20', '20', '0']","[9, 10, 10]",2019年4月30日 10:00
Castle-3,5,傀儡师,受到致命伤时不撤退，切换成<替身>作战（替身阻挡数为0），持续20秒后自身再次替换<替身>,70s,14→14→16,2,1.2s,"['1311', '1749', '2214', '2803', '0']","['335', '459', '604', '737', '80']","['133', '205', '267', '322', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年4月30日 10:00
真理,5,决战者,只有阻挡敌人时才能够回复技力,70s,29→31→33,1,1.6s,"['1882', '2614', '3440', '4468', '0']","['462', '651', '835', '1007', '70']","['247', '364', '492', '615', '70']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年4月30日 10:00
仇白,5,领主,可以进行远程攻击，但此时攻击力降低至80%,70s,17→19,2,1.3s,"['1016', '1452', '1911', '2420', '0']","['279', '417', '542', '670', '75']","['178', '245', '311', '375', '0']","['5', '5', '10', '10', '0']","[7, 8, 8]",2019年4月30日 10:00
龙舌兰,5,决战者,只有阻挡敌人时才能够回复技力,70s,28→30→32,1,1.6s,"['1534', '2131', '2804', '3642', '0']","['460', '648', '831', '1002', '40']","['252', '371', '502', '628', '60']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年4月30日 10:00
锡兰,5,斗士,能够阻挡一个敌人,80s,10→12,1,0.78s,"['1185', '1602', '2054', '2506', '0']","['236', '348', '464', '574', '40']","['134', '192', '260', '310', '35']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年4月30日 10:00
白铁,5,阵法术师,通常时不攻击且防御力和法术抗性大幅度提升，技能开启时攻击造成群体法术伤害,80s,23→25,1,2.0s,"['1020', '1275', '1594', '1945', '0']","['377', '503', '629', '732', '75']","['125', '146', '170', '196', '15']","['15', '15', '15', '15', '0']","[9, 13, 13]",2019年4月30日 10:00
12F,5,医师,恢复友方单位生命,70s,15→17,1,2.85s,"['634', '907', '1135', '——', '0']","['156', '257', '362', '——', '45']","['60', '81', '109', '——', '0']","['0', '0', '0', '——', '0']","[10, 12]",2019年4月30日 10:00
格劳克斯,5,强攻手,同时攻击阻挡的所有敌人,70s,20→22→24,2→2→3,1.2s,"['1325', '1699', '2179', '2906', '0']","['309', '430', '582', '766', '50']","['165', '236', '320', '391', '60']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年4月30日 10:00
林,6,哨戒铁卫,能够阻挡三个敌人，可以进行远程攻击,70s,18→20→22,3,1.2s,"['1307', '1743', '2324', '3240', '0']","['219', '281', '352', '425', '45']","['256', '383', '518', '710', '45']","['0', '0', '0', '0', '0']","[3, 3, 3]",2019年4月30日 10:00
洋灰,6,速射手,优先攻击空中单位,70s,8→10,1,1.0s,"['482', '754', '980', '——', '0']","['165', '276', '401', '——', '0']","['48', '80', '115', '——', '0']","['0', '0', '0', '——', '0']","[10, 12]",2019年4月30日 10:00
琴柳,6,傀儡师,受到致命伤时不撤退，切换成<替身>作战（替身阻挡数为0），持续20s后自身再次替换<替身>,80s,15→17,2,1.2s,"['1139', '1519', '1923', '2435', '100']","['309', '424', '559', '682', '60']","['130', '200', '261', '315', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年4月30日 10:00
砾,6,炮手,攻击造成群体物理伤害,70s,24→26→28,1,2.8s,"['847', '1059', '1324', '1655', '0']","['363', '519', '649', '833', '85']","['63', '82', '104', '123', '0']","['0', '0', '0', '0', '0']","[12, 13, 15]",2019年4月30日 10:00
芳汀,6,强攻手,同时攻击阻挡的所有敌人,70s,19→21→23,2→2→3,1.2s,"['1199', '1538', '1972', '2630', '0']","['293', '407', '551', '725', '80']","['150', '215', '291', '355', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年4月30日 10:00
斥罪,6,医师,恢复友方单位生命,70s,16→18,1,2.85s,"['851', '1167', '1374', '1580', '0']","['159', '262', '364', '450', '30']","['66', '96', '121', '152', '30']","['0', '0', '0', '0', '0']","[10, 12, 12]",2019年4月30日 10:00
断罪者,6,无畏者,能够阻挡一个敌人，且不受部署数量限制，但再部署时间极长,200s,3,1,1.5s,"['928', '1191', '——', '——', '200']","['247', '353', '——', '——', '60']","['63', '90', '——', '——', '0']","['0', '0', '——', '——', '0']",[2],2019年4月30日 10:00
泰拉大陆调查团,6,收割者,无法被友方角色治疗，攻击造成群体伤害，每攻击到一个敌人回复自身50生命，最大生效数等于阻挡数,70s,20→21→23,1→2→2,1.3s,"['1076', '1475', '1967', '2491', '0']","['298', '439', '586', '707', '70']","['224', '308', '396', '461', '30']","['0', '0', '0', '0', '0']","[4, 4, 4]",2019年4月30日 10:00
红云,6,秘术师,攻击造成法术伤害，在找不到攻击目标时可以将攻击能量储存起来之后一齐发射（最多3个）,70s,22→24,1,3.0s,"['669', '957', '1243', '1535', '0']","['548', '784', '1019', '1259', '130']","['48', '81', '112', '125', '0']","['10', '10', '15', '20', '0']","[8, 10, 10]",2019年4月30日 10:00
战车,6,处决者,再部署时间大幅度减少,18s,8→10,1,0.93s,"['762', '1016', '1270', '1629', '0']","['218', '321', '440', '565', '90']","['143', '205', '267', '318', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年4月30日 10:00
苇草,5,散射手,攻击范围内的所有敌人，对自己前方一横排的敌人攻击力提升至150%,70s,28→31,1,2.3s,"['1055', '1407', '1782', '2376', '0']","['314', '449', '580', '691', '65']","['103', '135', '172', '192', '0']","['0', '0', '0', '0', '0']","[5, 7, 7]",2019年4月30日 10:00
推进之王,3,领主,可以进行远程攻击，但此时攻击力降低至80%,70s,16→18,2,1.3s,"['949', '1356', '1785', '2260', '0']","['272', '400', '534', '660', '0']","['154', '211', '268', '323', '55']","['5', '5', '10', '10', '0']","[7, 8, 8]",2019年5月23日 10:00
炎狱炎熔,3,咒愈师,攻击造成法术伤害，攻击敌人时为攻击范围内一名友方干员治疗相当于50%伤害的生命值,70s,15→17,1,1.6s,"['826', '1088', '1296', '1508', '0']","['178', '293', '408', '511', '60']","['47', '69', '87', '109', '0']","['10', '10', '15', '20', '0']","[10, 12, 12]",2019年5月30日 10:00
夜刀,4,无畏者,能够阻挡一个敌人,70s,14→16,1,1.5s,"['1449', '1932', '2577', '3483', '222']","['402', '601', '771', '929', '22']","['74', '107', '139', '166', '22']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年5月30日 10:00
克洛丝,5,处决者,再部署时间大幅度减少,18s,8→10,1,0.93s,"['769', '1026', '1283', '1645', '0']","['215', '317', '435', '558', '90']","['144', '207', '270', '322', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年5月30日 10:00
乌有,5,强攻手,同时攻击阻挡的所有敌人,70s,17→19,2,1.2s,"['1130', '1449', '1858', '——', '0']","['263', '366', '495', '——', '50']","['126', '181', '245', '——', '0']","['0', '0', '0', '——', '0']","[2, 2]",2019年5月30日 10:00
月禾,6,强攻手,同时攻击阻挡的所有敌人,70s,20→22→24,2→2→3,1.2s,"['1286', '1649', '2115', '2821', '0']","['308', '429', '581', '765', '60']","['156', '224', '303', '370', '45']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年5月30日 10:00
桑葚,3,无畏者,能够阻挡一个敌人,70s,16→18,1,1.5s,"['1443', '2062', '2826', '3768', '0']","['416', '613', '776', '936', '75']","['105', '150', '195', '235', '25']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年7月9日 16:00
卡达,3,削弱者,攻击造成法术伤害,70s,11→13,1,1.6s,"['798', '1174', '1587', '2035', '0']","['205', '294', '377', '455', '80']","['61', '88', '116', '132', '0']","['15', '15', '20', '25', '0']","[12, 16, 16]",2019年7月9日 16:00
艾雅法拉,4,驭械术师,操作浮游单元造成法术伤害单元攻击同一敌人伤害提升（最高造成干员110%攻击力的伤害）,80s,21→23,1,1.3s,"['604', '863', '1121', '1475', '0']","['135', '191', '246', '294', '60']","['48', '73', '101', '121', '0']","['10', '10', '15', '20', '0']","[9, 10, 10]",2019年7月9日 16:00
鞭刃,5,神射手,优先攻击攻击范围内防御力最低的敌方单位,70s,20→22,1,2.7s,"['749', '973', '1217', '1522', '0']","['535', '744', '980', '1196', '100']","['79', '106', '133', '163', '0']","['0', '0', '0', '0', '0']","[12, 19, 19]",2019年7月9日 16:00
暮落(集成战略),6,神射手,优先攻击攻击范围内防御力最低的敌方单位,70s,19→21,1,2.7s,"['714', '928', '1160', '1450', '0']","['486', '675', '889', '1085', '90']","['63', '85', '107', '131', '0']","['0', '0', '0', '0', '0']","[12, 19, 19]",2019年7月9日 16:00
预备干员-后勤,4,凝滞师,攻击造成法术伤害，并对敌人造成短暂的停顿术语: 停顿移动速度降低80%,70s,13→15,1,1.9s,"['581', '797', '1024', '1280', '0']","['218', '321', '429', '518', '65']","['46', '67', '87', '104', '0']","['10', '10', '15', '20', '0']","[12, 12, 12]",2019年8月27日 16:00
杜宾,5,速射手,优先攻击空中单位,70s,9→11,1,1.0s,"['531', '831', '1080', '——', '0']","['150', '251', '365', '——', '50']","['55', '93', '134', '——', '0']","['0', '0', '0', '——', '0']","[10, 12]",2019年8月27日 16:00
归溟幽灵鲨,5,秘术师,攻击造成法术伤害，在找不到攻击目标时可以将攻击能量储存起来之后一齐发射（最多3个）,70s,23→25,1,3.0s,"['732', '1046', '1359', '1678', '0']","['611', '873', '1134', '1400', '150']","['51', '87', '120', '135', '0']","['10', '10', '15', '20', '0']","[8, 10, 10]",2019年8月27日 16:00
